Time,color,Sleep,Rest,Active,Walk,Run
02:08:39,"=""56,108,176""",0.660645,,,,
02:09:44,"=""56,108,176""",0.660645,,,,
02:10:58,"=""56,108,176""",0.660645,,,,
02:11:05,"=""56,108,176""",0.660645,,,,
02:12:31,"=""56,108,176""",0.660645,,,,
02:13:03,"=""56,108,176""",0.660645,,,,
02:14:31,"=""56,108,176""",0.660645,,,,
02:15:34,"=""56,108,176""",0.660645,,,,
02:16:30,"=""56,108,176""",0.660645,,,,
02:17:46,"=""56,108,176""",0.660645,,,,
02:18:06,"=""56,108,176""",0.660645,,,,
02:19:47,"=""56,108,176""",0.660645,,,,
02:20:38,"=""56,108,176""",0.660645,,,,
02:21:35,"=""56,108,176""",0.660645,,,,
02:22:40,"=""56,108,176""",0.660645,,,,
02:23:33,"=""56,108,176""",0.660645,,,,
02:24:47,"=""56,108,176""",0.660645,,,,
02:25:27,"=""56,108,176""",0.660645,,,,
02:26:48,"=""56,108,176""",0.660645,,,,
02:27:47,"=""56,108,176""",0.660645,,,,
02:28:55,"=""56,108,176""",0.660645,,,,
02:29:39,"=""56,108,176""",0.660645,,,,
02:30:12,"=""56,108,176""",0.660645,,,,
02:31:28,"=""56,108,176""",0.660645,,,,
02:32:39,"=""56,108,176""",0.660645,,,,
02:33:25,"=""56,108,176""",0.660645,,,,
02:34:57,"=""56,108,176""",0.660645,,,,
02:35:46,"=""56,108,176""",0.660645,,,,
02:36:49,"=""56,108,176""",0.660645,,,,
02:37:16,"=""56,108,176""",0.660645,,,,
02:38:48,"=""56,108,176""",0.660645,,,,
02:39:11,"=""56,108,176""",0.660645,,,,
02:40:39,"=""56,108,176""",0.660645,,,,
02:41:53,"=""56,108,176""",0.660645,,,,
02:42:17,"=""56,108,176""",0.660645,,,,
02:43:41,"=""56,108,176""",0.660645,,,,
02:44:41,"=""56,108,176""",0.660645,,,,
02:45:03,"=""56,108,176""",0.660645,,,,
02:46:21,"=""56,108,176""",0.660645,,,,
02:47:35,"=""56,108,176""",0.660645,,,,
02:48:16,"=""56,108,176""",0.660645,,,,
02:49:51,"=""56,108,176""",0.660645,,,,
02:50:18,"=""56,108,176""",0.660645,,,,
02:51:36,"=""56,108,176""",0.660645,,,,
02:52:59,"=""56,108,176""",0.660645,,,,
02:53:47,"=""56,108,176""",0.660645,,,,
02:54:32,"=""56,108,176""",0.660645,,,,
02:55:16,"=""56,108,176""",0.660645,,,,
02:56:21,"=""56,108,176""",0.660645,,,,
02:57:27,"=""56,108,176""",0.660645,,,,
02:58:59,"=""56,108,176""",0.660645,,,,
02:59:09,"=""56,108,176""",0.660645,,,,
03:00:33,"=""56,108,176""",0.660645,,,,
03:01:11,"=""56,108,176""",0.660645,,,,
03:02:52,"=""56,108,176""",0.660645,,,,
03:03:07,"=""56,108,176""",0.660645,,,,
03:04:31,"=""56,108,176""",0.660645,,,,
03:05:40,"=""56,108,176""",0.660645,,,,
03:06:11,"=""56,108,176""",0.660645,,,,
03:07:51,"=""56,108,176""",0.660645,,,,
03:08:33,"=""56,108,176""",0.660645,,,,
03:09:37,"=""56,108,176""",0.660645,,,,
03:10:19,"=""56,108,176""",0.660645,,,,
03:11:20,"=""56,108,176""",0.660645,,,,
03:12:32,"=""56,108,176""",0.660645,,,,
03:13:47,"=""56,108,176""",0.660645,,,,
03:14:28,"=""56,108,176""",0.660645,,,,
03:15:56,"=""56,108,176""",0.660645,,,,
03:16:37,"=""56,108,176""",0.660645,,,,
03:17:39,"=""56,108,176""",0.660645,,,,
03:18:14,"=""56,108,176""",0.660645,,,,
03:19:52,"=""56,108,176""",0.660645,,,,
03:20:59,"=""56,108,176""",0.660645,,,,
03:21:18,"=""56,108,176""",0.660645,,,,
03:22:46,"=""56,108,176""",0.660645,,,,
03:23:45,"=""56,108,176""",0.660645,,,,
03:24:30,"=""56,108,176""",0.660645,,,,
03:25:35,"=""56,108,176""",0.660645,,,,
03:26:36,"=""56,108,176""",0.660645,,,,
03:27:31,"=""56,108,176""",0.660645,,,,
03:28:40,"=""56,108,176""",0.660645,,,,
03:29:34,"=""56,108,176""",0.660645,,,,
03:30:02,"=""56,108,176""",0.660645,,,,
03:31:58,"=""56,108,176""",0.660645,,,,
03:32:56,"=""56,108,176""",0.660645,,,,
03:33:30,"=""56,108,176""",0.660645,,,,
03:34:53,"=""56,108,176""",0.660645,,,,
03:35:35,"=""56,108,176""",0.660645,,,,
03:36:06,"=""56,108,176""",0.660645,,,,
03:37:43,"=""56,108,176""",0.660645,,,,
03:38:19,"=""56,108,176""",0.660645,,,,
03:39:52,"=""56,108,176""",0.660645,,,,
03:40:07,"=""56,108,176""",0.660645,,,,
03:41:08,"=""56,108,176""",0.660645,,,,
03:42:49,"=""56,108,176""",0.660645,,,,
03:43:13,"=""56,108,176""",0.660645,,,,
03:44:41,"=""56,108,176""",0.660645,,,,
03:45:45,"=""56,108,176""",0.660645,,,,
03:46:58,"=""56,108,176""",0.660645,,,,
03:47:23,"=""56,108,176""",0.660645,,,,
03:48:14,"=""56,108,176""",0.660645,,,,
03:49:43,"=""56,108,176""",0.660645,,,,
03:50:13,"=""56,108,176""",0.660645,,,,
03:51:44,"=""56,108,176""",0.660645,,,,
03:52:01,"=""56,108,176""",0.660645,,,,
03:53:49,"=""56,108,176""",0.660645,,,,
03:54:16,"=""56,108,176""",0.660645,,,,
03:55:59,"=""56,108,176""",0.660645,,,,
03:56:08,"=""56,108,176""",0.660645,,,,
03:57:08,"=""56,108,176""",0.660645,,,,
03:58:45,"=""56,108,176""",0.660645,,,,
03:59:46,"=""56,108,176""",0.660645,,,,
04:00:09,"=""56,108,176""",0.660645,,,,
04:01:05,"=""56,108,176""",0.660645,,,,
04:02:20,"=""56,108,176""",0.660645,,,,
04:03:23,"=""56,108,176""",0.660645,,,,
04:04:56,"=""56,108,176""",0.660645,,,,
04:05:00,"=""56,108,176""",0.660645,,,,
04:06:43,"=""56,108,176""",0.660645,,,,
04:07:13,"=""56,108,176""",0.660645,,,,
04:08:52,"=""56,108,176""",0.660645,,,,
04:09:04,"=""56,108,176""",0.660645,,,,
04:10:53,"=""56,108,176""",0.660645,,,,
04:11:03,"=""56,108,176""",0.660645,,,,
04:12:05,"=""56,108,176""",0.660645,,,,
04:13:27,"=""56,108,176""",0.660645,,,,
04:14:13,"=""56,108,176""",0.660645,,,,
04:15:48,"=""56,108,176""",0.660645,,,,
04:16:34,"=""56,108,176""",0.660645,,,,
04:17:20,"=""56,108,176""",0.660645,,,,
04:18:37,"=""56,108,176""",0.660645,,,,
04:19:14,"=""56,108,176""",0.660645,,,,
04:20:05,"=""56,108,176""",0.660645,,,,
04:21:04,"=""56,108,176""",0.660645,,,,
04:22:58,"=""56,108,176""",0.660645,,,,
04:23:28,"=""56,108,176""",0.660645,,,,
04:24:44,"=""56,108,176""",0.660645,,,,
04:25:16,"=""56,108,176""",0.660645,,,,
04:26:42,"=""56,108,176""",0.660645,,,,
04:27:04,"=""56,108,176""",0.660645,,,,
04:28:30,"=""56,108,176""",0.660645,,,,
04:29:26,"=""56,108,176""",0.660645,,,,
04:30:58,"=""56,108,176""",0.660645,,,,
04:31:34,"=""56,108,176""",0.660645,,,,
04:32:05,"=""56,108,176""",0.660645,,,,
04:33:16,"=""56,108,176""",0.660645,,,,
04:34:55,"=""56,108,176""",0.660645,,,,
04:35:04,"=""56,108,176""",0.660645,,,,
04:36:42,"=""56,108,176""",0.660645,,,,
04:37:30,"=""56,108,176""",0.660645,,,,
04:38:51,"=""56,108,176""",0.660645,,,,
04:39:52,"=""56,108,176""",0.660645,,,,
04:40:06,"=""56,108,176""",0.660645,,,,
04:41:31,"=""56,108,176""",0.660645,,,,
04:42:09,"=""56,108,176""",0.660645,,,,
04:43:26,"=""56,108,176""",0.660645,,,,
04:44:38,"=""56,108,176""",0.660645,,,,
04:45:29,"=""56,108,176""",0.660645,,,,
04:46:52,"=""56,108,176""",0.660645,,,,
04:47:56,"=""56,108,176""",0.660645,,,,
04:48:25,"=""56,108,176""",0.660645,,,,
04:49:49,"=""56,108,176""",0.660645,,,,
04:50:10,"=""56,108,176""",0.660645,,,,
04:51:42,"=""56,108,176""",0.660645,,,,
04:52:13,"=""56,108,176""",0.660645,,,,
04:53:53,"=""56,108,176""",0.660645,,,,
04:54:01,"=""56,108,176""",0.660645,,,,
04:55:56,"=""56,108,176""",0.660645,,,,
04:56:31,"=""56,108,176""",0.660645,,,,
04:57:28,"=""56,108,176""",0.660645,,,,
04:58:23,"=""56,108,176""",0.660645,,,,
04:59:16,"=""56,108,176""",0.660645,,,,
05:00:30,"=""56,108,176""",0.660645,,,,
05:01:47,"=""56,108,176""",0.660645,,,,
05:02:57,"=""56,108,176""",0.660645,,,,
05:03:09,"=""56,108,176""",0.660645,,,,
05:04:21,"=""56,108,176""",0.660645,,,,
05:05:19,"=""56,108,176""",0.660645,,,,
05:06:21,"=""56,108,176""",0.660645,,,,
05:07:59,"=""56,108,176""",0.660645,,,,
05:08:54,"=""56,108,176""",0.660645,,,,
05:09:23,"=""56,108,176""",0.660645,,,,
05:10:16,"=""56,108,176""",0.660645,,,,
05:11:15,"=""56,108,176""",0.660645,,,,
05:12:26,"=""56,108,176""",0.660645,,,,
05:13:07,"=""56,108,176""",0.660645,,,,
05:14:51,"=""56,108,176""",0.660645,,,,
05:15:37,"=""56,108,176""",0.660645,,,,
05:16:56,"=""56,108,176""",0.660645,,,,
05:17:54,"=""56,108,176""",0.660645,,,,
05:18:57,"=""56,108,176""",0.660645,,,,
05:19:26,"=""56,108,176""",0.660645,,,,
05:20:50,"=""56,108,176""",0.660645,,,,
05:21:49,"=""56,108,176""",0.660645,,,,
05:22:01,"=""56,108,176""",0.660645,,,,
05:23:16,"=""56,108,176""",0.660645,,,,
05:24:21,"=""56,108,176""",0.660645,,,,
05:25:55,"=""56,108,176""",0.660645,,,,
05:26:12,"=""56,108,176""",0.660645,,,,
05:27:53,"=""56,108,176""",0.660645,,,,
05:28:16,"=""56,108,176""",0.660645,,,,
05:29:36,"=""56,108,176""",0.660645,,,,
05:30:28,"=""56,108,176""",0.660645,,,,
05:31:06,"=""56,108,176""",0.660645,,,,
05:32:17,"=""56,108,176""",0.660645,,,,
05:33:21,"=""56,108,176""",0.660645,,,,
05:34:00,"=""56,108,176""",0.660645,,,,
05:35:45,"=""56,108,176""",0.660645,,,,
05:36:44,"=""56,108,176""",0.660645,,,,
05:37:49,"=""56,108,176""",0.660645,,,,
05:38:31,"=""56,108,176""",0.660645,,,,
05:39:35,"=""56,108,176""",0.660645,,,,
05:40:17,"=""56,108,176""",0.660645,,,,
05:41:16,"=""56,108,176""",0.660645,,,,
05:42:50,"=""56,108,176""",0.660645,,,,
